Original,Corrigés,Nombre de corrections
J.H.C. Venman,Anonymous,12
F.A. Snellaert,Anonymous,21
M.A. Brandts-Buys,Anonymous,18
Jb. Kwast,Anonymous,6
Florimond van Duyse,Anonymous,357
C.P.E. Robidé van der Aa,Anonymous,6
"J. Veldkamp et K. de Boer, J. Veldkamp, ??K. de Boer",Anonymous,4
"A.J. Dekker, Marie van Dijk",Anonymous,12
"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa",Anonymous,14
"A.J. Dekker, Ernst Heins, Marie van Dijk, Henk Kuijer",Anonymous,7
J.F. Willems,Anonymous,119
Jacob Carel Willem le Jeune,Anonymous,33
"Jan Steven van Esveldt Holtrop, Willem Holtrop",Anonymous,129
Jacob Coenraetsz Meyvogel,Jacob Coenraetsz Mayvogel,8
"F. Pitton, F.Pitton",F. Pitton,8
"Volkerus van Oosterwyck, Volckerus van Oosterwyck",Volkerus van Oosterwyck,7
Philips van Marnix van Sint Aldegonde,Philips van Marnix,72
"Karel van Beer Mander, samensteller Karel van Mander",Karel van Mander,65
"Alle Dercks, samensteller Alle Dercks",Alle Dercks,16
anoniem,Anonymous,75
Anonymous,*un vrai auteur,18
"xFrançois Halma, François Halma",François Halma,17
TOTAL,,1024
